tweet_id,favorites,retweets
874680097055178752,25994,4212
874434818259525634,0,13220
874296783580663808,24351,3745
874057562936811520,21259,3629
874012996292530176,32050,9331
873580283840344065,22671,3592
873337748698140672,0,1449
873213775632977920,6703,1449
872967104147763200,25508,4941
872820683541237760,13805,3398
872620804844003328,19424,3331
872486979161796608,38215,8260
872122724285648897,32147,7389
871879754684805121,35258,10029
871762521631449091,18966,3194
871515927908634625,18937,3186
871166179821445120,0,5236
871102520638267392,19646,5041
871032628920680449,21358,3505
870804317367881728,31608,5683
870726314365509632,114,3
870656317836468226,11597,2412
870374049280663552,78088,24343
870308999962521604,20611,3807
870063196459192321,34353,7636
869772420881756160,40067,9325
869702957897576449,26558,5800
869596645499047938,15032,2877
869227993411051520,19244,3477
868880397819494401,61651,13301
868639477480148993,0,1916
868622495443632128,25142,4887
868552278524837888,9499,1916
867900495410671616,22858,3857
867774946302451713,32070,6789
867421006826221569,15188,2303
867072653475098625,0,110
867051520902168576,30459,7299
866720684873056260,18917,4444
866686824827068416,18219,3233
866450705531457537,115644,32642
866334964761202691,49554,13220
866094527597207552,0,7778
865718153858494464,24304,5220
865359393868664832,25057,4647
865006731092295680,26565,7155
864873206498414592,30590,8083
864279568663928832,13819,2811
864197398364647424,28423,8235
863907417377173506,19547,3849
863553081350529029,14497,3908
863471782782697472,0,2266
863432100342583297,22580,4888
863427515083354112,2089,89
863079547188785154,8344,1036
863062471531167744,8028,2266
862831371563274240,18247,4810
862722525377298433,16257,3305
862457590147678208,19444,4609
862096992088072192,70582,21632
861383897657036800,34337,10020
861288531465048066,16342,3874
861005113778896900,15908,3573
860981674716409858,0,2011
860924035999428608,0,748
860563773140209665,7134,2011
860524505164394496,22550,4984
860276583193509888,17518,3294
860184849394610176,15909,5485
860177593139703809,0,29071
859924526012018688,18700,3861
859851578198683649,14739,3305
859607811541651456,17808,1473
859196978902773760,85874,28394
859074603037188101,32333,12837
858860390427611136,0,7655
858843525470990336,14921,3285
858471635011153920,20595,4589
858107933456039936,15095,2741
857989990357356544,15423,2454
857746408056729600,32859,10067
857393404942143489,5642,1556
857263160327368704,19258,4287
857214891891077121,215,17
857062103051644929,0,161
